"eez_iso3","perc_dark_fishing"
"GBR",42
"UKR",85
"GEO",72
"GNB",54
"GAB",88
"LCA",92
"PYF",70
"FRA",39
"NZL",71
"BHS",98
"THA",98
"BES",94
"GNQ",86
"TON",53
"AIA",97
"GRL",100
"CHN",59
"PNG",76
"ISR",82
"COG",85
"SJM",37
"FJI",48
"MNP",69
"JEY",69
"PAK",99
"MEX",98
"PAN",94
"VUT",28
"MAF",82
"PLW",100
"AGO",69
"MOZ",68
"NIC",99
"LTU",41
"BLM",88
"SYC",64
"IRN",92
"PRK",99
"URY",46
"SDN",96
"KOR",61
"GLP",95
"DZA",98
"LBY",95
"MLT",56
"CUW",90
"GHA",63
"BGR",50
"SUR",96
"LBN",98
"SVN",49
"DNK",32
"CIV",81
"SAU",89
"TUR",70
"MAR",93
"COL",95
"PER",86
"MDG",67
"GRD",86
"KEN",59
"GIB",73
"MYS",96
"ALB",82
"YEM",96
"SLE",87
"TGO",64
"BRA",80
"ESP",32
"NLD",35
"HRV",31
"SEN",69
"FIN",93
"VIR",97
"MYT",86
"TLS",91
"IDN",95
"SWE",40
"TCA",98
"ESH",93
"SLB",55
"STP",82
"CYM",98
"GRC",63
"CMR",61
"ECU",96
"AUS",82
"LKA",88
"MRT",78
"PSE",100
"WSM",71
"",62
"BEL",35
"LBR",71
"MMR",100
"KWT",98
"SLV",99
"SYR",90
"DOM",97
"COM",93
"ARE",89
"SGP",19
"NOR",29
"POL",50
"BGD",100
"FRO",14
"CRI",96
"NAM",51
"CPV",57
"ATG",98
"KHM",99
"PHL",99
"TTO",93
"BRN",97
"DJI",93
"USA",76
"TWN",57
"QAT",83
"TUN",93
"MTQ",90
"KNA",90
"IRL",36
"LVA",34
"TZA",83
"GUY",99
"PRI",96
"GIN",69
"SOM",80
"BEN",83
"ERI",97
"ATF",78
"VGB",94
"MCO",90
"ISL",12
"CYP",83
"CHL",86
"HND",99
"DEU",49
"OMN",96
"BRB",94
"NGA",70
"DMA",94
"COD",74
"JOR",99
"FLK",44
"CAN",65
"ITA",44
"PRT",42
"IRQ",98
"ABW",75
"IND",96
"RUS",54
"ARG",27
"BHR",54
"GMB",76
"REU",67
"MNE",71
"VCT",88
"MUS",29
"BMU",98
"JPN",86
"EGY",99
"EST",54
"GUF",46
"GTM",99
"NCL",48
"ZAF",45
"VNM",96
"VEN",93
"ROU",83
"GGY",29
"CUB",98
"MSR",93
"JAM",99
"BLZ",99
"HTI",97
"GUM",67
"SPM",56
"SXM",73
"ASM",43
