Country,region
AUS,AustraliaNZ
CXR,AustraliaNZ
NZL,AustraliaNZ
NFK,AustraliaNZ
ATG,Caribbean
BHS,Caribbean
BRB,Caribbean
VGB,Caribbean
CYM,Caribbean
CUB,Caribbean
DMA,Caribbean
DOM,Caribbean
GRD,Caribbean
GLP,Caribbean
HTI,Caribbean
JAM,Caribbean
MTQ,Caribbean
MSR,Caribbean
ANT,Caribbean
ABW,Caribbean
CUW,Caribbean
PRI,Caribbean
KNA,Caribbean
AIA,Caribbean
LCA,Caribbean
VCT,Caribbean
TTO,Caribbean
TCA,Caribbean
VIR,Caribbean
MAF,Caribbean
BLM,Caribbean
BLZ,LatinAmerica
CRI,LatinAmerica
SLV,LatinAmerica
GTM,LatinAmerica
HND,LatinAmerica
NIC,LatinAmerica
PAN,LatinAmerica
CHN,NorthEastAsia
TWN,NorthEastAsia
HKG,NorthEastAsia
MAC,NorthEastAsia
ALB,Europe
BEL,Europe
BIH,Europe
BGR,Europe
HRV,Europe
CYP,Europe
DNK,Europe
EST,Europe
FRO,Europe
FIN,Europe
FRA,Europe
GEO,Europe
DEU,Europe
GIB,Europe
GRC,Europe
GRL,Europe
ISL,Europe
IRL,Europe
ITA,Europe
LVA,Europe
LTU,Europe
MLT,Europe
MCO,Europe
NLD,Europe
NOR,Europe
POL,Europe
PRT,Europe
RAM,Europe
RAA,Europe
ROU,Europe
RUS,Europe
SVN,Europe
ESP,Europe
SJM,Europe
SWE,Europe
UKR,Europe
SUN,Europe
GBR,Europe
"",Europe
IMN,Europe
YUG,Europe
MNE,Europe
"",Europe
BGD,IndianP
IOT,IndianP
IND,IndianP
PAK,IndianP
ASM,IslandsNations
BMU,IslandsNations
SLB,IslandsNations
COK,IslandsNations
FJI,IslandsNations
PYF,IslandsNations
KIR,IslandsNations
GUM,IslandsNations
MDV,IslandsNations
NRU,IslandsNations
NCL,IslandsNations
VUT,IslandsNations
NIU,IslandsNations
MNP,IslandsNations
FSM,IslandsNations
MHL,IslandsNations
PLW,IslandsNations
PNG,IslandsNations
PCN,IslandsNations
SHN,IslandsNations
STP,IslandsNations
SYC,IslandsNations
TKL,IslandsNations
TON,IslandsNations
TUV,IslandsNations
WLF,IslandsNations
WSM,IslandsNations
JPN,NorthEastAsia
PRK,NorthEastAsia
KOR,NorthEastAsia
DZA,MidEast
LBY,MidEast
MRT,MidEast
MAR,MidEast
TUN,MidEast
BHR,MidEast
PSE,MidEast
IRN,MidEast
IRQ,MidEast
ISR,MidEast
JOR,MidEast
KWT,MidEast
LBN,MidEast
OMN,MidEast
QAT,MidEast
SAU,MidEast
ESH,MidEast
SYR,MidEast
ARE,MidEast
TUR,MidEast
EGY,MidEast
YEM,MidEast
CAN,NorthAmerica
MEX,NorthAmerica
SPM,NorthAmerica
USA,NorthAmerica
CPV,NWAfrica
GMB,NWAfrica
GIN,NWAfrica
GNB,NWAfrica
SEN,NWAfrica
SLE,NWAfrica
ARG,LatinAmerica
BRA,LatinAmerica
CHL,LatinAmerica
COL,LatinAmerica
ECU,LatinAmerica
FLK,LatinAmerica
GUF,LatinAmerica
GUY,LatinAmerica
PER,LatinAmerica
SUR,LatinAmerica
URY,LatinAmerica
VEN,LatinAmerica
BRN,SouthEastAsia
MMR,SouthEastAsia
KHM,SouthEastAsia
LKA,SouthEastAsia
IDN,SouthEastAsia
MYS,SouthEastAsia
PHL,SouthEastAsia
TLS,SouthEastAsia
SGP,SouthEastAsia
VNM,SouthEastAsia
THA,SouthEastAsia
AGO,SubAfrica
ERI,SubAfrica
CMR,SubAfrica
COM,SubAfrica
MYT,SubAfrica
COG,SubAfrica
COD,SubAfrica
BEN,SubAfrica
GNQ,SubAfrica
DJI,SubAfrica
GAB,SubAfrica
GHA,SubAfrica
CIV,SubAfrica
KEN,SubAfrica
LBR,SubAfrica
MDG,SubAfrica
MUS,SubAfrica
MOZ,SubAfrica
NAM,SubAfrica
NGA,SubAfrica
REU,SubAfrica
SOM,SubAfrica
ZAF,SubAfrica
ZWE,SubAfrica
SDN,SubAfrica
TGO,SubAfrica
TZA,SubAfrica
AFG,MidEast
AND,Europe
AZE,MidEast
AUT,Europe
ARM,MidEast
BTN,SouthEastAsia
BOL,LatinAmerica
BWA,SubAfrica
BDI,SubAfrica
BLR,Europe
CAF,SubAfrica
TCD,NWAfrica
CSK,Europe
CZE,Europe
ETH,SubAfrica
HUN,Europe
KAZ,MidEast
KGZ,MidEast
LAO,SouthEastAsia
LSO,SubAfrica
LIE,Europe
LUX,Europe
MWI,SubAfrica
MLI,NWAfrica
MNG,NorthEastAsia
MDA,Europe
NPL,SouthEastAsia
NER,NWAfrica
PRY,LatinAmerica
RWA,SubAfrica
SMR,Europe
SVK,Europe
SWZ,SubAfrica
CHE,Europe
TJK,MidEast
TKM,MidEast
UGA,SubAfrica
MKD,Europe
BFA,NWAfrica
UZB,MidEast
SRB,Europe
ZMB,SubAfrica
ATF,IslandNations
VAT,Europe
BES,Caribbean
CCK,IslandNations
