region,length_class,n_vessel_years,f_transit_med,f_transit_q25,f_transit_q75
AustraliaNZ,12-24m,1275,0.469802189090404,0.316106051383977,0.659066866466905
AustraliaNZ,24-50m,1599,0.41025164985331,0.27354021722615,0.583901859865141
AustraliaNZ,6-12m,6,0.712940915550932,0.595654188868076,0.730292893199213
AustraliaNZ,Less than 6m,,0.447556692250071,,
AustraliaNZ,Over 50m,265,0.43487897599655,0.324673517999748,0.547694200497901
Caribbean,12-24m,268,0.457815087541209,0.268462882433343,0.653394205227023
Caribbean,24-50m,123,0.517148579937672,0.308419852665876,0.725124629183848
Caribbean,6-12m,1,0.589113280242456,0.589113280242456,0.589113280242456
Caribbean,Less than 6m,,0.447556692250071,,
Caribbean,Over 50m,57,0.722639659688129,0.617844075010204,0.806455158015859
Europe,12-24m,72553,0.376195945476261,0.222450866744839,0.559048743597541
Europe,24-50m,28939,0.404207497531621,0.262973579411128,0.584412500886776
Europe,6-12m,1657,0.376799419997398,0.232669263969399,0.548022947653422
Europe,Less than 6m,,0.447556692250071,,
Europe,Over 50m,8450,0.414144894123137,0.284943104710269,0.622698140959723
IndianP,12-24m,2945,0.508581180859931,0.387098185265289,0.652109099322882
IndianP,24-50m,2304,0.46556745853467,0.336648850511215,0.617348095124382
IndianP,6-12m,,0.447556692250071,,
IndianP,Less than 6m,,0.447556692250071,,
IndianP,Over 50m,7,0.550610232081564,0.45903964993343,0.679641671526516
IslandNations,12-24m,37,0.434333822626951,0.230047511890894,0.603471015222558
IslandNations,24-50m,28,0.393081399274038,0.300809356653736,0.572129138841497
IslandNations,6-12m,,0.447556692250071,,
IslandNations,Less than 6m,,0.447556692250071,,
IslandNations,Over 50m,9,0.642628272935709,0.625294440353407,0.678500958429223
IslandsNations,12-24m,828,0.453465595266581,0.33371260492301,0.563923012022037
IslandsNations,24-50m,1637,0.376175505400769,0.256809857776486,0.511543369807685
IslandsNations,6-12m,15,0.628474017254925,0.549745437757564,0.71676618941578
IslandsNations,Less than 6m,,0.447556692250071,,
IslandsNations,Over 50m,1436,0.66943215720007,0.424942519266942,0.78172086888622
LatinAmerica,12-24m,4087,0.401257168582741,0.246851723469263,0.593566662395535
LatinAmerica,24-50m,6451,0.488898244214761,0.34260303485637,0.712416612993691
LatinAmerica,6-12m,14,0.625803123734931,0.577179537218748,0.688334471667588
LatinAmerica,Less than 6m,,0.447556692250071,,
LatinAmerica,Over 50m,2505,0.666576197655101,0.522995689889744,0.761214505029933
MidEast,12-24m,7959,0.484810616727682,0.315519121423378,0.70091381748928
MidEast,24-50m,6689,0.617568606688601,0.404312806658219,0.788109220837351
MidEast,6-12m,3,0.704591237351821,0.566249515053987,0.736217034837624
MidEast,Less than 6m,,0.447556692250071,,
MidEast,Over 50m,448,0.590568636814545,0.445852594214986,0.759987173509055
NorthAmerica,12-24m,16083,0.595391980964986,0.427111989180549,0.775134451286975
NorthAmerica,24-50m,11377,0.525446377395752,0.337737387758381,0.716823117657541
NorthAmerica,6-12m,64,0.520161282764787,0.178355348506869,0.717188496062892
NorthAmerica,Less than 6m,,0.447556692250071,,
NorthAmerica,Over 50m,1156,0.645587488659746,0.42080621420268,0.738395221704609
NorthEastAsia,12-24m,160146,0.448743574098622,0.286148388660028,0.625068618514413
NorthEastAsia,24-50m,190120,0.415130444174524,0.254260076318811,0.603646146158863
NorthEastAsia,6-12m,703,0.58913552698024,0.377529728398234,0.755295419564155
NorthEastAsia,Less than 6m,,0.447556692250071,,
NorthEastAsia,Over 50m,12647,0.648808290687629,0.405078322225489,0.779357967576027
NWAfrica,12-24m,81,0.485897111778722,0.179742026906432,0.767358975900964
NWAfrica,24-50m,446,0.138754204378052,0.109311399785656,0.275842696270011
NWAfrica,6-12m,,0.447556692250071,,
NWAfrica,Less than 6m,,0.447556692250071,,
NWAfrica,Over 50m,159,0.618360241404979,0.427711312611298,0.747080444297168
SouthEastAsia,12-24m,20118,0.517103822448218,0.344106692431855,0.703888533736177
SouthEastAsia,24-50m,9708,0.486136758673869,0.315035650797826,0.672518287096348
SouthEastAsia,6-12m,87,0.650130198529603,0.528016894339366,0.770885141596381
SouthEastAsia,Less than 6m,,0.447556692250071,,
SouthEastAsia,Over 50m,245,0.703708217680533,0.633311185019762,0.822729081850907
SubAfrica,12-24m,2240,0.416359218460038,0.287823596916717,0.621039554102546
SubAfrica,24-50m,3537,0.352401904296619,0.205093353504657,0.637335988325952
SubAfrica,6-12m,10,0.684757453523265,0.544570958438277,0.764897119974287
SubAfrica,Less than 6m,,0.447556692250071,,
SubAfrica,Over 50m,698,0.615427389770553,0.322307071452342,0.780465738363607
