"ISO_SOV1","MRGID_SOV1"
"USA",2204
"GBR",2208
"NZL",2227
"FRA",17
"WSM",8671
"TON",8674
"CHL",2165
"URY",2216
"PER",2257
"BRA",2143
"KIR",2116
"ARG",2149
"AUS",2147
"COM",2163
"MDG",7963
"ZAF",2176
"MUS",8614
"VUT",2202
"NAM",2218
"TLS",8757
"COG",8633
"AGO",2150
"MOZ",2220
"KEN",2118
"PNG",2237
"TZA",2205
"SLB",8593
"SYC",2192
"COD",2198
"ATG",8645
"NLD",15
"PRT",2243
"BHS",2144
"BRB",8649
"MEX",2224
"CPV",2168
"ESP",2185
"PAN",2249
"CRI",2162
"DMA",8648
"DOM",8640
"GTM",2097
"DNK",2157
"GMB",2113
"GIB",2208
"GRD",8650
"SLE",2191
"ISL",2129
"JAM",8682
"MRT",2236
"HTI",8639
"KNA",8644
"LCA",8647
"VCT",8651
"TTO",2186
"SLV",2135
"BLZ",8681
"CUB",8637
"SEN",2225
"VEN",2201
"CAN",2169
"NIC",2255
"GUY",2124
"COL",2175
"IRL",2114
"GNB",8685
"GIN",2122
"CIV",2161
"LBR",2105
"HND",2103
"ECU",2166
"ESH",8617
"SUR",2182
"MAR",2221
"ARE",2206
"CYP",2159
"ERI",2111
"EGY",3868
"GEO",2102
"IRN",2126
"LBN",2098
"LBY",2194
"MLT",2217
"OMN",2251
"SAU",2215
"LKA",2195
"SYR",3384
"TGO",8632
"GRC",2099
"TUR",2213
"MCO",2222
"TUN",2214
"MNE",17831
"ALB",2153
"BGR",2174
"PSE",15525
"KWT",2115
"IRQ",2125
"BHR",2154
"QAT",2242
"YEM",2199
"ISR",2123
"JOR",2120
"DJI",2131
"BGD",2142
"NGA",2253
"CMR",2170
"STP",2238
"BIH",2136
"MHL",2226
"PLW",8594
"PHL",2245
"TWN",2177
"SGP",2190
"THA",2207
"VNM",2200
"KOR",8600
"BRN",2145
"PRK",8601
"KHM",2171
"CHN",8603
"EST",2110
"FIN",2106
"SWE",2180
"LTU",2156
"NOR",2252
"BEL",14
"DEU",2101
"LVA",2132
"HRV",2160
"ITA",2133
"UKR",2196
"ROU",2241
"JPN",2121
"IND",2128
"PAK",2250
"TKM",2212
"AZE",2134
"KAZ",2119
"MMR",2219
"POL",2244
"SDN",2183
"BEN",2139
"SVN",2188
"MYS",2230
"QAT",8468
"TUV",2210
"FJI",2108
"FSM",8595
"GNQ",2112
"MDV",2229
"SOM",2187
"NRU",8596
"GAB",2104
"IDN",2127
"DZA",2152
"GHA",2100
"RUS",2240
"Land",999999
"High seas",99999
