"provid","meso_region"
12,"South China Sea"
1,"Arctic"
2,"Pacific Subarctic"
3,"California Current"
4,"Northern Central Pacific"
5,"Eastern Tropical Pacific"
6,"Equatorial Pacific"
7,"Peru Upwelling/Humboldt Current"
8,"Southern Central Pacific"
9,"Coral Sea"
10,"Tasman Sea"
11,"Sea of Japan"
13,"Indo-Pacific ""Pocket"" Basins"
14,"Arabian Sea"
20,"Agulhas Current"
21,"Northwest Atlantic Subarctic"
22,"North Atlantic Drift"
23,"Gulf of Mexico"
24,"Central North Atlantic"
25,"Mediterranean"
26,"Mauritania/Cape Verde"
27,"Tropical and West Equatorial Atlantic"
15,"Bay of Bengal"
16,"Somali Current"
17,"Northern Indian Ocean"
18,"Mid-Indian Ocean"
28,"Guinea Basin and East Equatorial Atlantic"
29,"Benguela Upwelling"
30,"South Atlantic"
31,"Circumglobal Subtropical Front"
32,"Subantarctic"
33,"Antarctic/Southern Ocean"
19,"Southern Indian Ocean"
